booking_id,guest_id,room_id,check_in,check_out,status
1,73,32,2025-06-13,2025-06-18,cancelled
2,74,28,2025-10-04,2025-10-10,checked_out
3,32,9,2026-06-13,2026-06-15,checked_in
4,37,98,2026-06-15,2026-06-16,checked_out
5,35,13,2025-07-15,2025-07-23,confirmed
6,31,39,2025-06-17,2025-06-21,cancelled
7,26,35,2025-09-20,2025-09-21,confirmed
8,41,62,2026-04-05,2026-04-07,checked_out
9,61,31,2025-09-10,2025-09-11,checked_out
10,28,10,2026-05-26,2026-05-31,cancelled
11,67,23,2025-09-21,2025-09-25,cancelled
12,42,9,2025-10-21,2025-10-24,confirmed
13,49,95,2025-06-04,2025-06-10,checked_in
14,5,94,2025-08-21,2025-08-27,cancelled
15,71,96,2025-11-22,2025-11-27,checked_out
16,48,15,2025-09-19,2025-09-21,cancelled
17,61,9,2025-11-20,2025-11-30,checked_out
18,68,11,2025-12-12,2025-12-13,checked_in
19,28,67,2025-11-24,2025-11-25,checked_in
20,75,6,2025-06-23,2025-06-27,checked_out
21,24,27,2026-03-02,2026-03-07,checked_in
22,31,26,2025-12-11,2025-12-12,checked_out
23,55,49,2025-10-29,2025-10-30,checked_in
24,8,95,2026-04-13,2026-04-20,cancelled
25,60,14,2025-12-03,2025-12-11,cancelled
26,53,4,2026-05-27,2026-05-31,checked_in
27,17,98,2026-05-05,2026-05-06,checked_out
28,50,24,2025-10-27,2025-10-29,cancelled
29,19,88,2025-09-28,2025-10-11,checked_out
30,50,45,2025-12-12,2025-12-19,confirmed
31,52,64,2026-04-22,2026-04-24,checked_in
32,9,18,2025-08-23,2025-08-30,cancelled
33,8,15,2025-09-16,2025-09-18,confirmed
34,20,31,2026-05-26,2026-05-31,checked_out
35,11,97,2026-04-28,2026-05-07,checked_in
36,60,42,2026-04-22,2026-04-23,checked_out
37,29,62,2026-06-09,2026-06-10,checked_in
38,79,23,2026-01-23,2026-01-25,cancelled
39,34,69,2026-04-24,2026-04-27,checked_in
40,9,51,2025-09-21,2025-09-26,checked_out
41,58,44,2025-06-29,2025-07-04,checked_in
42,16,90,2025-06-17,2025-06-19,checked_out
43,73,100,2025-12-23,2025-12-29,cancelled
